0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0.0000	0.0000	0.0000	0.2476	0.2276	0.2647	0.1476	0.0914	0.0210	0.0000	
0.0000	0.0000	0.0000	0.1904	0.1948	0.2292	0.1580	0.1221	0.1055	0.0000	
0.0000	0.0000	0.0000	0.1111	0.1578	0.2243	0.1836	0.1632	0.1510	0.0088	
0.0000	0.0000	0.0000	0.0000	0.0540	0.1519	0.1948	0.2735	0.3041	0.0218	
0.0000	0.0000	0.0000	0.0000	0.0099	0.0626	0.1173	0.2456	0.4329	0.1318	
0.0000	0.0000	0.0000	0.0000	0.0111	0.0308	0.0617	0.2494	0.4837	0.1633	
0.0000	0.0000	0.0000	0.0000	0.0019	0.0140	0.0367	0.1872	0.5047	0.2555	
0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0014	0.0280	0.3724	0.5976	
0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0008	0.0197	0.1466	0.8326	
